Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
44,"SO Araújo, RS Peres, JC Ramalho, F Lidon, J Barata","Machine learning applications in agriculture: current trends, challenges, and future perspectives",2023,"Agronomy","mdpi.com","https://www.mdpi.com/2073-4395/13/12/2976","https://scholar.google.com/scholar?cites=3543689127363038024&as_sdt=2005&sciodt=2007&hl=en",11,"2024-11-03 23:59:31","HTML","","","",,,,,44,44.00,9,5,1,"… of Machine Learning adoption and highlights some challenges associated with its integration in agricultural … the current landscape of Machine Learning applications in agriculture, but it …","https://www.mdpi.com/2073-4395/13/12/2976","https://scholar.google.com/scholar?q=related:SEvjbny2LTEJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
11,"NS Ouf","A review on the relevant applications of machine learning in agriculture",2018,"methods","researchgate.net","https://www.researchgate.net/profile/Noran-Ouf/publication/328098308_A_Review_on_the_Relevant_Applications_of_Machine_Learning_in_Agriculture/links/61578f9f4a82eb7cb5e2476a/A-Review-on-the-Relevant-Applications-of-Machine-Learning-in-Agriculture.pdf","https://scholar.google.com/scholar?cites=18193085931654958843&as_sdt=2005&sciodt=2007&hl=en",12,"2024-11-03 23:59:31","PDF","","","",,,,,11,1.83,11,1,6,"… agriculture … agriculture has been discussed to detect, quantify, predict, early identify and classify plant diseases as well as forecasting agricultural crops using different machine learning …","https://www.researchgate.net/profile/Noran-Ouf/publication/328098308_A_Review_on_the_Relevant_Applications_of_Machine_Learning_in_Agriculture/links/61578f9f4a82eb7cb5e2476a/A-Review-on-the-Relevant-Applications-of-Machine-Learning-in-Agriculture.pdf","https://scholar.google.com/scholar?q=related:-05zhEPTevwJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
36,"I Attri, LK Awasthi, TP Sharma","Machine learning in agriculture: a review of crop management applications",2024,"Multimedia Tools and Applications","Springer","https://link.springer.com/article/10.1007/s11042-023-16105-2","https://scholar.google.com/scholar?cites=3429434840109339397&as_sdt=2005&sciodt=2007&hl=en",13,"2024-11-03 23:59:31","","10.1007/s11042-023-16105-2","","",,,,,36,36.00,12,3,1,"… how machine learning may improve agriculture. This article examines machine learning breakthroughs in agriculture… This paper’s findings show that by using novel machine learning …","","https://scholar.google.com/scholar?q=related:BdMQMdHMly8J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
100,"S Dimitriadis, C Goumopoulos","Applying machine learning to extract new knowledge in precision agriculture applications",2008,"2008 panhellenic conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4621545/","https://scholar.google.com/scholar?cites=3113039065678259078&as_sdt=2005&sciodt=2007&hl=en",14,"2024-11-03 23:59:31","","","","",,,,,100,6.25,50,2,16,"… model machine learning experiments on real agricultural data are presented in section 4. We conclude our paper with a discussion on the practical results of the machine learning …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f1fa46c0012dd08336c6e2491f2b51c0a6d916f4","https://scholar.google.com/scholar?q=related:hqOqYYm8MysJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
694,"R Sharma, SS Kamble, A Gunasekaran…","A systematic literature review on machine learning applications for sustainable agriculture supply chain performance",2020,"Computers &Operations …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0305054820300435","https://scholar.google.com/scholar?cites=16562170402945672294&as_sdt=2005&sciodt=2007&hl=en",15,"2024-11-03 23:59:31","","","","",,,,,694,173.50,174,4,4,"… agriculture offers important tools to address agricultural … communication technologies such as machine learning, big data … of machine learning (ML) applications in agricultural supply …","https://repository.derby.ac.uk/download/e4f6a487a34b87d78a3905b714c2e56010c1420c1c4c744af3a3875aa7ec656d/928478/COR%20Revised_271219.pdf","https://scholar.google.com/scholar?q=related:ZqQQOTum2OUJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
24,"SU Mohammad, JC Bansal","Computer vision and machine learning in agriculture",2021,"","Springer","https://link.springer.com/content/pdf/10.1007/978-981-33-6424-0.pdf","https://scholar.google.com/scholar?cites=14368756828421959234&as_sdt=2005&sciodt=2007&hl=en",16,"2024-11-03 23:59:31","","10.1007/978-981-33-6424-0","","",,,,,24,8.00,12,2,3,"… and evaluation of a wide range of agricultural plants, crops, leaves, and fruits. … , machine learning including deep learning tools and techniques in assessing and monitoring agricultural …","http://www.ir.juit.ac.in:8080/jspui/bitstream/123456789/5369/1/Computer%20Vision%20and%20Machine%20Learning%20in%20Agriculture%20%28Mohammad%20Shorif%20Uddin%20%28editor%29%20etc.%29.pdf","https://scholar.google.com/scholar?q=related:Qi4P3jQUaMcJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
13,"K Jhajharia, P Mathur","A comprehensive review on machine learning in agriculture domain",2022,"IAES International Journal of Artificial …","researchgate.net","https://www.researchgate.net/profile/Dr-Jhajharia/publication/361009042_A_comprehensive_review_on_machine_learning_in_agriculture_domain/links/64589b95809a535021581aa9/A-comprehensive-review-on-machine-learning-in-agriculture-domain.pdf","https://scholar.google.com/scholar?cites=12837063788247556082&as_sdt=2005&sciodt=2007&hl=en",17,"2024-11-03 23:59:31","PDF","","","",,,,,13,6.50,7,2,2,"… Machine learning has evolved in agriculture rapidly in past … of the machine learning technology in the agriculture domain … The work analyses various sub-categories of the agriculture …","https://www.researchgate.net/profile/Dr-Jhajharia/publication/361009042_A_comprehensive_review_on_machine_learning_in_agriculture_domain/links/64589b95809a535021581aa9/A-comprehensive-review-on-machine-learning-in-agriculture-domain.pdf","https://scholar.google.com/scholar?q=related:8p-GcYBpJrIJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
134,"KLM Ang, JKP Seng","Big data and machine learning with hyperspectral information in agriculture",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9328849/","https://scholar.google.com/scholar?cites=8199419466727385959&as_sdt=2005&sciodt=2007&hl=en",18,"2024-11-03 23:59:31","","","","",,,,,134,44.67,67,2,3,"… for Big data in agriculture. To the best of our knowledge, no similar review study on agriculture with Big data, machine learning and deep learning for hyperspectral and multispectral …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09328849.pdf","https://scholar.google.com/scholar?q=related:Z2u1BpAwynEJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
262,"MH Saleem, J Potgieter, KM Arif","Automation in agriculture by machine and deep learning techniques: A review of recent developments",2021,"Precision Agriculture","Springer","https://link.springer.com/article/10.1007/s11119-021-09806-x","https://scholar.google.com/scholar?cites=11871395235887906354&as_sdt=2005&sciodt=2007&hl=en",19,"2024-11-03 23:59:31","","10.1007/s11119-021-09806-x","","",,,,,262,87.33,87,3,3,"… Performance plots are drawn to study the effectiveness of deep learning over traditional machine learning models for certain agricultural operations. The analysis of prominent studies …","","https://scholar.google.com/scholar?q=related:Mv5c1xGrv6QJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
46,"MM Rahaman, M Azharuddin","Wireless sensor networks in agriculture through machine learning: A survey",2022,"Computers and Electronics in Agriculture","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168169922002459","https://scholar.google.com/scholar?cites=6669849638916263200&as_sdt=2005&sciodt=2007&hl=en",20,"2024-11-03 23:59:31","","","","",,,,,46,23.00,23,2,2,"… Furthermore, we also consider the concept of Deep Learning technique for the … agricultural problems and previously used different techniques applied for smart or precision agriculture…","","https://scholar.google.com/scholar?q=related:IA3fgOgQkFwJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
112,"A Cravero, S Pardo, S Sepúlveda, L Muñoz","Challenges to use machine learning in agricultural big data: a systematic literature review",2022,"Agronomy","mdpi.com","https://www.mdpi.com/2073-4395/12/3/748","https://scholar.google.com/scholar?cites=2125267839392679694&as_sdt=2005&sciodt=2007&hl=en",21,"2024-11-03 23:59:31","HTML","","","",,,,,112,56.00,28,4,2,"… main challenges encountered, machine learning techniques, and the … agricultural Big Data architectures due to the need to modify the set of technologies adapting the machine learning …","https://www.mdpi.com/2073-4395/12/3/748","https://scholar.google.com/scholar?q=related:DgeQ-9Z3fh0J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
44,"K Dokic, L Blaskovic, D Mandusic","From machine learning to deep learning in agriculture–the quantitative review of trends",2020,"IOP conference series: Earth …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1755-1315/614/1/012138/meta","https://scholar.google.com/scholar?cites=13701259445009695264&as_sdt=2005&sciodt=2007&hl=en",22,"2024-11-03 23:59:31","","10.1088/1755-1315/614/1/012138","","",,,,,44,11.00,15,3,4,"… machine learning implemented in the agriculture supply chain systems [9]. Behmann et al. analysed advanced machine learning … papers about machine learning and agriculture can be …","https://iopscience.iop.org/article/10.1088/1755-1315/614/1/012138/pdf","https://scholar.google.com/scholar?q=related:IMJEc9-mJL4J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
46,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa…","Towards applicability of machine learning techniques in agriculture and energy sector",2022,"Materials Today …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214785321074186","https://scholar.google.com/scholar?cites=2836059893119850984&as_sdt=2005&sciodt=2007&hl=en",23,"2024-11-03 23:59:31","","","","",,,,,46,23.00,9,5,2,"… Smart farming is made possible by the predictive nature of machine learning … machine learning in agriculture sector and electrical sector. Predictive nature of machine learning …","https://www.researchgate.net/profile/Malik-Jawarneh/publication/357367253_Towards_applicability_of_machine_learning_techniques_in_agriculture_and_energy_sector/links/61c051a8fd2cbd7200b26b83/Towards-applicability-of-machine-learning-techniques-in-agriculture-and-energy-sector.pdf","https://scholar.google.com/scholar?q=related:6BkkW3K1WycJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
1280,"A Chlingaryan, S Sukkarieh, B Whelan","Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review",2018,"… and electronics in agriculture","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168169917314710","https://scholar.google.com/scholar?cites=2862684619102755506&as_sdt=2005&sciodt=2007&hl=en",24,"2024-11-03 23:59:31","","","","",,,,,1280,213.33,427,3,6,"… to machine learning (ML) methods. This is due to the capability of machine learning based … within the last 15 years on machine learning based techniques for accurate crop yield …","","https://scholar.google.com/scholar?q=related:shqYcX5MuicJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
151,"M Amini, A Rahmani","Agricultural databases evaluation with machine learning procedure",2023,"… Journal of Engineering and Applied Science","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4331902","https://scholar.google.com/scholar?cites=460276925620564697&as_sdt=2005&sciodt=2007&hl=en",25,"2024-11-03 23:59:31","","","","",,,,,151,151.00,76,2,1,"… variety of machine learning … agricultural scientist and machine learning researcher that our experience has shown to be vital to success. We review in some detail a particular agricultural …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4331902","https://scholar.google.com/scholar?q=related:2TLs2Ww7YwYJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
19,"M Swain, R Singh, AK Thakur, A Gehlot","A machine learning approach of data mining in agriculture 4.0",2020,"Int. J. Emerg. Technol","researchgate.net","https://www.researchgate.net/profile/Amit-Thakur-17/publication/339146991_A_Machine_Learning_Approach_of_Data_Mining_in_Agriculture_40/links/5e417f7c92851c7f7f2f1349/A-Machine-Learning-Approach-of-Data-Mining-in-Agriculture-40.pdf","https://scholar.google.com/scholar?cites=15934822893411891361&as_sdt=2005&sciodt=2007&hl=en",26,"2024-11-03 23:59:31","PDF","","","",,,,,19,4.75,5,4,4,"… This article shown the implementation various machine learning … deep learning algorithm to improve accuracy [19]. This paper proposed a technique to classify various machine learning …","https://www.researchgate.net/profile/Amit-Thakur-17/publication/339146991_A_Machine_Learning_Approach_of_Data_Mining_in_Agriculture_40/links/5e417f7c92851c7f7f2f1349/A-Machine-Learning-Approach-of-Data-Mining-in-Agriculture-40.pdf","https://scholar.google.com/scholar?q=related:ofiTyP7cI90J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
110,"A Badage","Crop disease detection using machine learning: Indian agriculture",2018,"Int. Res. J. Eng. Technol","academia.edu","https://www.academia.edu/download/57549164/IRJET-V5I9158.pdf","https://scholar.google.com/scholar?cites=579083728668250651&as_sdt=2005&sciodt=2007&hl=en",27,"2024-11-03 23:59:31","PDF","","","",,,,,110,18.33,110,1,6,"… [11] proposed the machine learning techniques for Wheat Leaf Rust disease detection as well as evaluate the training sample size and influence of disease symptoms effects on the …","https://www.academia.edu/download/57549164/IRJET-V5I9158.pdf","https://scholar.google.com/scholar?q=related:G9J6RpVRCQgJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
14,"N Yadav, SM Alfayeed, A Wadhawan","Machine learning in agriculture: techniques and applications",2020,"International Journal of …","academia.edu","https://www.academia.edu/download/107219137/118-122_Tesma507_IJEAST.pdf","https://scholar.google.com/scholar?cites=14468505404336323751&as_sdt=2005&sciodt=2007&hl=en",28,"2024-11-03 23:59:31","PDF","","","",,,,,14,3.50,5,3,4,"… of work on machine learning applications in agricultural field. Keywords— Machine Learning, SVM, … of machine learning in agriculture. In the future, we would like to extend our work by …","https://www.academia.edu/download/107219137/118-122_Tesma507_IJEAST.pdf","https://scholar.google.com/scholar?q=related:pzxJAAJ1ysgJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
414,"TU Rehman, MS Mahmud, YK Chang, J Jin…","Current and future applications of statistical machine learning algorithms for agricultural machine vision systems",2019,"… electronics in agriculture","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168169918304289","https://scholar.google.com/scholar?cites=13638846860607968011&as_sdt=2005&sciodt=2007&hl=en",29,"2024-11-03 23:59:31","","","","",,,,,414,82.80,83,5,5,"… learning have been utilized for agriculture. This paper comprehensively surveyed current application of statistical machine learning techniques in machine … in different agricultural areas. …","","https://scholar.google.com/scholar?q=related:C1N9QPXqRr0J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
62,"S Condran, M Bewong, MZ Islam, L Maphosa…","Machine learning in precision agriculture: a survey on trends, applications and evaluations over two decades",2022,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9815230/","https://scholar.google.com/scholar?cites=16254059620681546908&as_sdt=2005&sciodt=2007&hl=en",30,"2024-11-03 23:59:31","","","","",,,,,62,31.00,12,5,2,"… the context of agriculture. Finally, we identify some of the common pitfalls in the machine learning and agriculture research including the misapplication of machine learning evaluation …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09815230.pdf","https://scholar.google.com/scholar?q=related:nHy-eBsFkuEJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
27,"F Bal, F Kayaalp","Review of machine learning and deep learning models in agriculture",2021,"International Advanced Researches and …","dergipark.org.tr","https://dergipark.org.tr/en/pub/iarej/article/848458","https://scholar.google.com/scholar?cites=4635072590683075476&as_sdt=2005&sciodt=2007&hl=en",31,"2024-11-03 23:59:31","HTML","","","",,,,,27,9.00,14,2,3,"… Deep learning (DL) is a branch of machine learning that tries … Deep learning, which is of great interest in the field of … on deep learning and machine learning in agriculture applications …","https://dergipark.org.tr/en/pub/iarej/article/848458","https://scholar.google.com/scholar?q=related:lHPQq_YVU0AJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
211,"S Mishra, D Mishra, GH Santra","Applications of machine learning techniques in agricultural crop production: a review paper",2016,"Indian J. Sci …","sciresol.s3.us-east-2.amazonaws …","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-38/Article9.pdf","https://scholar.google.com/scholar?cites=14232651909726544689&as_sdt=2005&sciodt=2007&hl=en",32,"2024-11-03 23:59:31","PDF","","","",,,,,211,26.38,70,3,8,"… approach for production of agricultural crop management. … and techniques such as machine learning that can be used to … vector machine are applied in the domain of agriculture were …","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-38/Article9.pdf","https://scholar.google.com/scholar?q=related:MSMJC4GJhMUJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
19,"P Deng, Y Gao, L Mu, X Hu, F Yu…","Development potential of nanoenabled agriculture projected using machine learning",2023,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.2301885120","https://scholar.google.com/scholar?cites=8260118986825362183&as_sdt=2005&sciodt=2007&hl=en",33,"2024-11-03 23:59:31","","10.1073/pnas.2301885120","","",,,,,19,19.00,3,6,1,"… agriculture. The regional differences and temperature changes make nanoenabled agriculture … potential of nanoenabled agriculture using machine learning, although many more field …","https://www.pnas.org/doi/pdf/10.1073/pnas.2301885120","https://scholar.google.com/scholar?q=related:B2svXHTWoXIJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
23,"IH Witten, G Holmes, RJ McQueen, LA Smith…","Practical machine learning and its application to problems in agriculture",1993,"","researchcommons.waikato.ac.nz","https://researchcommons.waikato.ac.nz/handle/10289/9915","https://scholar.google.com/scholar?cites=9416427288309847534&as_sdt=2005&sciodt=2007&hl=en",34,"2024-11-03 23:59:31","","","","",,,,,23,0.74,5,5,31,"… of machine learning. These … machine learning with an emphasis on practical applications, and suggests how they might be used to address some important problems in the agriculture …","https://researchcommons.waikato.ac.nz/bitstream/handle/10289/9915/uow-cs-wp-1993-01.pdf?sequence=9","https://scholar.google.com/scholar?q=related:7tUAdbrerYIJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
292,"Y Mekonnen, S Namuduri, L Burton…","Machine learning techniques in wireless sensor network based precision agriculture",2019,"Journal of the …","iopscience.iop.org","https://iopscience.iop.org/article/10.1149/2.0222003JES/meta","https://scholar.google.com/scholar?cites=12014120571711510615&as_sdt=2005&sciodt=2007&hl=en",35,"2024-11-03 23:59:31","","10.1149/2.0222003JES","","",,,,,292,58.40,73,4,5,"… in agriculture and give a comprehensive review of sensor and IoT data analytics using machine learning (ML) techniques for agriculture … as follows: AI in Agriculture section presents the …","https://iopscience.iop.org/article/10.1149/2.0222003JES/pdf","https://scholar.google.com/scholar?q=related:V9iTpQG7uqYJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
378,"R Akhter, SA Sofi","Precision agriculture using IoT data analytics and machine learning",2022,"Journal of King Saud University-Computer and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1319157821001282","https://scholar.google.com/scholar?cites=13495585733326711834&as_sdt=2005&sciodt=2007&hl=en",36,"2024-11-03 23:59:31","HTML","","","",,,,,378,189.00,189,2,2,"… data for precision agriculture. Data Analytics and Machine Learning techniques are playing … By using IoT data analytics with the machine learning we can make the precision agriculture …","https://www.sciencedirect.com/science/article/pii/S1319157821001282","https://scholar.google.com/scholar?q=related:GqzExrjzSbsJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
181,"KSP Reddy, YM Roopa, KR LN…","IoT based smart agriculture using machine learning",2020,"… conference on inventive …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9183373/","https://scholar.google.com/scholar?cites=1406917072990539875&as_sdt=2005&sciodt=2007&hl=en",37,"2024-11-03 23:59:31","","","","",,,,,181,45.25,45,4,4,"… any agriculture field. This system comprises of temperature, humidity and moisture sensor, deployed in an agricultural … Decision tree algorithm, an efficient machine learning algorithm is …","https://imt.college/wp-content/uploads/2022/06/IOT_AGRICULTURE.pdf","https://scholar.google.com/scholar?q=related:Y5AIrJ9fhhMJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
